id	notable_types
/m/0265m79	/people/person,/sports/pro_athlete,/olympics/olympic_athlete
/m/0265mmp	
/m/0265nv7	
/m/0265p3w	/book/book,/book/written_work
/m/0265pg6	
/m/0265pzf	/book/written_work,/book/book
/m/0265s7s	/base/yalebase/building,/projects/project_focus,/base/yalebase/library,/architecture/building,/architecture/structure
/m/0265sxf	/people/family_name
/m/0265vml	/book/periodical,/business/employer
/m/0265wzm	/military/military_conflict,/time/event
/m/0265x5h	/location/location
/m/0265xp_	/people/person
/m/0265ytf	/base/typefaces/typeface
/m/0265zn7	/location/location
/m/0265zrq	/people/person,/american_football/football_player,/sports/pro_athlete
/m/026610s	/geography/body_of_water,/geography/geographical_feature,/location/location,/geography/river
/m/02661_r	/user/doconnor/pets/pet,/biology/deceased_organism,/user/sandos/common_sense/common_sense_organism,/biology/organism,/user/sandos/common_sense/pet,/user/doconnor/pets/horse
/m/02661hl	/location/location,/location/dated_location,/location/statistical_region,/location/citytown
/m/02663k_	/sports/pro_athlete,/baseball/baseball_player,/baseball/baseball_manager,/people/deceased_person,/people/person
/m/02665mq	/olympics/olympic_athlete,/sports/pro_athlete,/people/person
/m/02666v8	/book/author,/people/person
/m/02666zr	
/m/02667mf	/travel/accommodation,/location/location,/architecture/structure,/travel/hotel,/architecture/building,/projects/project_focus
/m/02668g7	/location/location,/location/dated_location,/location/statistical_region,/location/citytown
/m/0266bj_	/tv/tv_series_episode
/m/0266dcw	/people/person
/m/0266drm	/business/employer,/venture_capital/venture_funded_company,/law/invention,/business/business_operation,/organization/organization
/m/0266flf	/sports/sports_championship_event,/time/event,/soccer/football_match
/m/0266g7	/location/location,/location/dated_location,/location/uk_civil_parish,/location/citytown,/location/statistical_region,/location/administrative_division
/m/0266g8t	/business/employer
/m/0266lbj	/business/employer,/organization/organization,/base/ballet/ballet_school,/education/educational_institution
/m/0266lkd	/organization/organization,/business/employer,/sports/sports_league
/m/0266mfq	/projects/project_focus,/location/location,/architecture/structure
/m/0266p1	/people/person,/government/politician
/m/0266qzl	/tv/tv_series_episode
/m/0266r5g	/geography/body_of_water,/location/location,/geography/geographical_feature,/geography/river
/m/0266rxw	/people/deceased_person,/royalty/chivalric_order_member,/people/person
/m/0266s3r	/cvg/computer_videogame
/m/0266skk	/biology/organism_classification,/food/ingredient
/m/0266tw0	/soccer/football_player,/sports/pro_athlete,/organization/organization_founder,/people/person
/m/0266v06	/sports/sports_team
/m/0266wmr	/business/employer,/organization/organization
/m/02670ny	/music/artist
/m/02670y5	/people/person,/people/deceased_person
/m/02671jg	/people/person,/people/deceased_person,/military/military_person
/m/02672d	/people/person,/sports/pro_athlete,/olympics/olympic_athlete,/tv/tv_actor,/soccer/football_player
/m/02673z3	/organization/organization,/business/employer,/education/educational_institution
/m/02676vq	/soccer/football_player,/sports/pro_athlete,/people/person
/m/026771l	/location/citytown,/location/location,/location/dated_location,/location/statistical_region
/m/02677r_	/people/deceased_person,/people/person
/m/02679p7	/location/location,/metropolitan_transit/transit_stop
/m/0267_yq	/book/author,/people/person
/m/0267d85	/organization/organization
/m/0267dj2	
/m/0267dwf	/time/event,/sports/sports_league_season
/m/0267f0l	
/m/0267fq_	/time/event,/sports/sports_league_season,/sports/sports_championship_event
/m/0267g_8	
/m/0267gfp	/people/person,/people/deceased_person
/m/0267jc4	
/m/0267l8d	/people/person,/book/author
/m/0267m25	/tv/tv_program
/m/0267mwb	/architecture/venue,/projects/project_focus,/location/location,/architecture/structure,/sports/sports_facility
/m/0267n4z	/user/alexander/philosophy/philosopher,/people/deceased_person,/influence/influence_node,/people/person
/m/0267qdw	/biology/organism_classification
/m/0267tqm	/base/crime/lawyer,/people/person
/m/0267vbl	/film/film_character,/tv/tv_character,/fictional_universe/fictional_character
/m/0267w96	/military/military_person,/people/person,/people/deceased_person
/m/0267xr	/medicine/anatomical_structure,/medicine/brain
/m/0267zds	
/m/02680pt	
/m/0268218	/location/location,/business/shopping_center,/architecture/structure,/projects/project_focus
/m/026825r	/people/person,/people/deceased_person
/m/02683tp	/visual_art/art_period_movement
/m/02686k	/geography/river,/geography/body_of_water,/location/location,/geography/geographical_feature
/m/02689jt	/location/location
/m/0268byl	/influence/influence_node,/tv/tv_actor,/people/person
/m/0268cww	
/m/0268d2r	/location/location,/geography/mountain,/geography/geographical_feature
/m/0268df1	/metropolitan_transit/transit_stop,/location/location
/m/0268fdd	
/m/0268g24	/education/university,/education/educational_institution,/business/employer,/location/location,/organization/organization
/m/0268hfv	
/m/0268jx_	
/m/0268lqw	/business/business_operation,/business/employer,/organization/organization
/m/0268nkp	/book/book,/book/written_work
/m/0268pbk	
/m/0268qfr	/people/person,/book/author,/award/award_winner,/award/award_nominee
/m/0268s7h	
/m/0268tdr	/biology/organism_classification
/m/0268w55	/comic_books/comic_book_character,/fictional_universe/fictional_character
/m/0268xt3	
/m/02690fw	/location/location,/transportation/road
/m/02691sx	/metropolitan_transit/transit_stop,/location/location
/m/02692b2	
/m/02693dw	/location/location
/m/02695mf	/location/location,/location/citytown,/location/dated_location,/location/statistical_region
/m/02696g7	/people/person,/sports/pro_athlete,/base/rugby/rugby_player
/m/026983m	
/m/026991x	
/m/02699rk	
/m/0269_j7	/location/location,/architecture/structure,/architecture/building,/projects/project_focus
/m/0269_nq	/sports/pro_athlete,/olympics/olympic_athlete,/people/person
/m/0269blq	/library/public_library_system
